;Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
217;Sub-Saharan Africa;SSF;GDP (constant 2015 US$);NY.GDP.MKTP.KD;255731321417,58826;258251879404,7059;273856996529,36526;291193170219,36053;306010103342,7897;320409903378,07;325093193821,63464;321031544264,85364;330708833365,3493;362146875754,5091;399551024759,721;431181810123,36615;443027234991,6953;462496827839,59534;498813615202,39087;496948469144,92944;523233954147,576;537989937697,16833;535790973037,7292;557959525208,7823;579244334128,8127;574013764975,0648;567170105036,5385;552939098140,9674;565496085131,1877;576720645712,4208;587683097910,9841;605084064400,3021;631964353279,1425;647798062253,9895;664124642097,3553;666675428058,364;664387914570,8939;656957153629,9879;664130202285,0006;686778576005,1556;722467596138,9902;749522995001,6112;768039645962,0314;784399107388,704;811154711612,4612;845241094604,1636;899186450002,3579;935144795343,5238;997387759289,643;1058640486103,008;1123492011666,1338;1194197255690,7686;1257406426803,1406;1297397391615,0837;1374354271542,9116;1434521885494,78;1482738259082,055;1558483379009,56;1634180434758,4192;1680659709870,9956;1700207342386,916;1741723516715,0837;1788553116078,2302;1834643244102,5642;1797727737804,2039;
218;Small states;SST;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;216965067784,13046;224624005081,5976;234116592681,06854;245100120304,5005;263947357820,2969;277571197691,32324;304507253704,0263;329669997771,75256;349458365547,78784;351965383252,9646;376932440126,2562;400546487929,6897;413046073012,9529;426131243354,3015;440043223111,084;452216089879,0632;462759191464,13855;467947335934,2897;478110002388,85925;486923536017,555;459291336428,6989;
219;Sao Tome and Principe;STP;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156544397,54903454;160265267,2706785;170800267,6288876;177345716,31030852;189926220,17615896;207239214,67122832;213981960,43010142;231498896,15849262;237115713,04190904;252936034,6631254;264060672,4353695;272357396,6021416;285470840,52670527;304168994,8967374;316066072,34375423;329229494,0612091;341901474,4639893;351971392,2898266;359752972,346268;370868351,86852974;
220;Suriname;SUR;GDP (constant 2015 US$);NY.GDP.MKTP.KD;1039848345,7020439;1089761066,2957428;1132261747,8812814;1195668405,7626288;1273386852,1372008;1426193274,3936648;1700022383,0772452;1905725091,4295945;2050560198,3782468;2142835407,305264;2200691963,30251;2286518949,871304;2272799836,172076;2231889439,1209803;2240816996,8774643;2303559872,790032;2506273141,595555;2761913002,0383;2944199260,1728272;2926534064,6117926;2668999066,9259586;2858498000,6776953;2738441084,6492352;2631641882,3479185;2581640686,5833063;2633273500,3149714;2654339688,317491;2489770627,641807;2683972736,59787;2796699591,5349755;2670848109,915908;2742960985,7464814;2753932829,923611;2569419381,2743297;2656779611,9062257;2656779611,9062257;2683347440,512776;2836298182,456757;2901533087,482074;2860911610,6184335;2920990722,0417366;3043672344,6600523;3128895191,266427;3326015570,5797997;3608726900,225364;3771119618,345187;3989601077,062663;4193529048,4970884;4367284016,741301;4498900810,723798;4731441127,403635;5008200515,116925;5142938624,989024;5293803728,74411;5307329557,760412;5126291450,815114;4874293909,327714;4950683407,966751;5195656627,740217;5252729241,6659355;4417127637,779144;
221;Slovak Republic;SVK;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35304367325,82029;35975619296,10975;38208096811,64569;40440785134,630844;43117923240,85545;45673021586,18865;47534698784,16482;47484351308,214035;48038270071,29411;49601331860,37458;51838075452,97497;54688694775,75192;57575645098,13239;61389146306,93513;66603034743,82068;73817494749,89528;77932736865,4066;73681090125,60895;78318051830,60153;80383610898,33318;81475402649,0691;82008875308,60075;84243103635,47809;88636928904,64488;90349111445,25113;93041683985,29723;96572067461,26051;99088126486,02419;94769118999,6109;
222;Slovenia;SVN;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26417686104,921078;27263846125,340218;28640614043,007404;29579844442,743732;31157238919,345295;32301448497,08592;33340444076,921467;34509226036,650764;35530788949,94881;37079644535,977715;38487919291,19998;40699587892,472244;43540484553,78865;45068686557,358574;41666704789,201546;42226600498,22343;42590309918,89921;41466164772,272644;41039360682,04569;42175395368,80819;43107506024,32537;44483434040,73436;46625480708,1199;48687502648,75623;50270105178,866394;48144051030,286316;
223;Sweden;SWE;GDP (constant 2015 US$);NY.GDP.MKTP.KD;123686642725,62352;130713643065,18732;136280798857,2004;143541749586,46234;153332968452,5761;159192599473,07846;162521068848,4638;167990534344,2067;174102879451,68698;182823823634,68826;196150229232,73895;198003155009,14908;202534930030,788;210571477885,03024;217305965722,13522;222853488541,42572;225211512171,39145;221616554115,96875;225498274547,56354;234157416129,8637;238138025327,29077;239221149500,05475;242208219499,10333;246811722726,63904;257250711527,9492;262808288360,3119;269881308726,53302;278932704065,054;286070699812,6521;293665324567,97003;295881542676,8081;292490814556,96313;289102037155,61127;283130298151,2495;294257241961,3925;305836832131,4896;310667391570,0248;320206516443,8492;334013297425,3911;348199457231,41;364795858131,68384;370083569053,71375;378214012929,9022;386950040254,66205;403731506887,75104;415273396287,1657;434636654376,7029;449584772840,5071;447559127029,5656;428135998219,2907;453619110971,1713;468113753183,843;465359818585,78845;470887249502,53467;483402482698,498;505103781349,7569;515562425649,40735;528801679620,7083;539113433181,75653;549821281946,7352;533611847447,4278;
224;Eswatini;SWZ;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;419059493,9709522;476653495,9358599;502508584,26393014;547828193,9870921;579292634,5693394;659863226,8621035;645877836,4303746;652398573,2604932;661056742,1500397;681595411,8861719;766447580,3115977;878666551,1453362;888969512,8942058;899658081,3780099;955092808,9721011;991313898,5293913;1112893373,920845;1275449148,8217645;1359243882,1288872;1534737274,3539171;1857308362,905956;1890003980,0603404;1950979418,5178075;2011579066,4320464;2059870864,8228602;2159273055,138456;2242233484,101685;2311805624,614768;2372005953,961888;2442000889,672307;2484984348,5567126;2511195091,3865943;2621187924,679831;2722895614,647096;2821571016,184503;2990830756,641569;3170046325,4168177;3310649785,909812;3337852200,512932;3390091218,073041;3518702972,0879617;3597776312,480306;3791935013,3570423;3938349731,291321;3974709779,06398;4063245671,2928457;4106422133,9800467;4189641987,9301615;4289003978,1140676;4401077165,652549;4319634145,188625;
225;Sint Maarten (Dutch part);SXM;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1108116839,8208437;1143576512,4468398;1196181066,2857416;1212814522,2683496;1228662707,796843;1248080304,4804025;1253072625,698324;1259337988,8268154;1186296385,47486;1108000824,0335207;;;
226;Seychelles;SYC;GDP (constant 2015 US$);NY.GDP.MKTP.KD;131933783,53012511;125492411,60423724;136044543,0238196;149833477,75102916;158702490,57291874;157019337,82830924;178839541,9965034;179742215,73951697;193318568,83679914;193318568,83679914;210469540,68863997;243832700,28489587;259214417,94166347;282684174,2884325;286367124,1362278;295466167,6624794;343561109,57645816;322293897,6507922;390464511,90558404;452135806,91684496;432926715,02809155;397361011,01073253;392919811,80411416;386203847,4475683;403626014,11185527;448532385,2380482;447739374,31802267;467458296,7465931;492685833,9244235;547860848,76774;586186699,2824849;602367949,9203681;645506330,2874057;685506096,8057923;680030980,1818169;674416356,329656;707580951,6052907;792218643,2642184;858791933,0495309;874868574,6080979;888117049,0112088;867946465,3154229;878473191,428979;826756354,354268;803190047,6005244;875523427,1031476;957876280,271721;1057700744,8399656;1034993045,2332319;1023553828,1381104;1084506074,450922;1170044100,7890694;1184796354,183355;1256098308,9935403;1312682840,2644758;1377495054,041265;1440344964,029407;1508593706,4296126;1535313668,7488143;1553599342,6426578;1386262377,3452163;
